Symbol	POL SNP cum. AF	POL SNP cum. AC	POL SNP cum. AN	GnomAD NFE SNP cum. AF	GnomAD NFE SNP cum. AC	GnomAD NFE SNP cum. AN	P-value	Cum. SNP AF fold change	fisher_p	symbol	min(mean_depth)	avg(mean_depth)	max(mean_depth)	min(pct10x)	avg(pct10x)	max(pct10x)	min(pct20x)	avg(pct20x)	max(pct20x)	FILTER	pscaled_fisher_p	pscaled_P-value	diff	greater_AF_in
BLM	0.00325279	7	2152	0.0010845527	70	64598	19.0246756650102	1.58457752767498	0.012128959515496673	BLM	36.98	36.97999954223633	36.98	100.0	100.0	100.0	100.0	100.0	100.0	PASS	1.9161764535489174	-1.279317261600454	0.0021682373000000005	PL
VWF	0.013012016	28	2152	0.0076959417	497	64598	18.6097872779945	0.757674726238358	0.012203986740529717	VWF	35.99	35.9900016784668	35.99	100.0	100.0	100.0	98.98	98.9800033569336	98.98	PASS	1.9134982728845884	-1.2697414088899732	0.005316074299999999	PL
HSD17B4	0.001858734	4	2152	0.000387256	25	64598	13.8967252078789	2.26296082671905	0.013452418752658173	HSD17B4	33.97	33.970001220703125	33.97	100.0	100.0	100.0	99.37	99.37000274658205	99.37	PASS	1.8711996222421656	-1.142912469915286	0.001471478	PL
FANCD2	0.001859168	4	2152	0.0003871877	25	64598	13.8967252078789	2.26355211481798	0.013452418752658173	FANCD2	37.01	37.0099983215332	37.01	100.0	100.0	100.0	99.9	99.9000015258789	99.9	PASS	1.8711996222421656	-1.142912469915286	0.0014719803	PL
SCO2	0.003717472	8	2152	0.0013941368	90	64598	26.0497047202464	1.41494974299813	0.014035911533869972	SCO2	42.61	42.61000061035156	42.61	100.0	100.0	100.0	100.0	100.0	100.0	PASS	1.8527593777374225	-1.4158028048296158	0.0023233352	PL
TDP1	0.000929368	2	2152	6.19559e-05	4	64598	5.00237637335523	3.90693639036278	0.014293033102316506	TDP1	37.2	37.20000076293945	37.2	100.0	100.0	100.0	100.0	100.0	100.0	PASS	1.8448756004726816	-0.6991763644680541	0.0008674121	PL
IFT52	0.000929368	2	2152	6.19445e-05	4	64598	5.00237637335523	3.90720187333964	0.014293033102316506	IFT52	40.04	40.040000915527344	40.04	100.0	100.0	100.0	100.0	100.0	100.0	PASS	1.8448756004726816	-0.6991763644680541	0.0008674234999999999	PL
ASPA	0.002323418	5	2152	0.0006195209	40	64598	20.0043469510515	1.90702387026052	0.014545227222648564	ASPA	40.27	40.27000045776367	40.27	100.0	100.0	100.0	100.0	100.0	100.0	PASS	1.8372794899018556	-1.3011243782501791	0.0017038970999999998	PL
ADAMTS13	0.00139405	3	2152	0.0002168362	14	64598	14.5686344550143	2.68460477237048	0.016222324970788862	ADAMTS13	39.02	39.02000045776367	39.02	100.0	100.0	100.0	100.0	100.0	100.0	PASS	1.7898869029223687	-1.1634188464546171	0.0011772138	PL
GYS2	0.0027881	6	2152	0.0008983518	58	64598	29.8482607851235	1.63392987803546	0.017037069557922186	GYS2	36.86	36.86000061035156	36.86	100.0	100.0	100.0	100.0	100.0	100.0	PASS	1.7686051034818868	-1.4749190304928816	0.0018897482	PL
MTO1	0.00232342	5	2152	0.0006505358	42	64598	27.2141054848425	1.83654961282731	0.01732924984345435	MTO1	34.3	34.29999923706055	34.3	100.0	100.0	100.0	98.02	98.0199966430664	98.02	PASS	1.7612202368186674	-1.434794063827392	0.0016728842	PL
