symbol	min(mean_depth)	avg(mean_depth)	max(mean_depth)	min(pct10x)	avg(pct10x)	max(pct10x)	min(pct20x)	avg(pct20x)	max(pct20x)
TXNDC5	32.97	32.970001220703125	32.97	100.0	100.0	100.0	100.0	100.0	100.0
CPLANE2	41.06	41.060001373291016	41.06	100.0	100.0	100.0	100.0	100.0	100.0
ANKH	37.64	37.63999938964844	37.64	100.0	100.0	100.0	99.74	99.73999786376953	99.74
GSX2	40.59	40.59000015258789	40.59	100.0	100.0	100.0	100.0	100.0	100.0
MORC3	37.06	37.060001373291016	37.06	100.0	100.0	100.0	100.0	100.0	100.0
MTX1	30.44	30.440000534057617	30.44	76.15	76.1500015258789	76.15	70.08	70.08000183105469	70.08
RABIF	35.04	35.040000915527344	35.04	100.0	100.0	100.0	97.95	97.94999694824219	97.95
MZT1	38.75	38.75	38.75	100.0	100.0	100.0	100.0	100.0	100.0
RGPD2	7.44	7.440000057220459	7.44	28.49	28.489999771118164	28.49	9.41	9.40999984741211	9.41
CT47A3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CECR3	31.53	31.530000686645508	31.53	100.0	100.0	100.0	99.84	99.83999633789062	99.84
LOC100130992	39.9	39.900001525878906	39.9	100.0	100.0	100.0	100.0	100.0	100.0
SGTB	36.73	36.72999954223633	36.73	100.0	100.0	100.0	99.06	99.05999755859375	99.06
MIR1277	12.78	12.779999732971191	12.78	100.0	100.0	100.0	0.0	0.0	0.0
LOC643733	42.0	42.0	42.0	100.0	100.0	100.0	100.0	100.0	100.0
LOC105372581	37.29	37.290000915527344	37.29	100.0	100.0	100.0	100.0	100.0	100.0
LOC105377239	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CYP26A1	39.92	39.91999816894531	39.92	100.0	100.0	100.0	100.0	100.0	100.0
BRS3	20.18	20.18000030517578	20.18	100.0	100.0	100.0	54.07	54.06999969482422	54.07
CNR2	34.35	34.349998474121094	34.35	100.0	100.0	100.0	100.0	100.0	100.0
LCT	37.1	37.099998474121094	37.1	100.0	100.0	100.0	99.97	99.97000122070312	99.97
TP53RK	42.11	42.11000061035156	42.11	100.0	100.0	100.0	100.0	100.0	100.0
LOC100996325	43.33	43.33000183105469	43.33	100.0	100.0	100.0	100.0	100.0	100.0
SNCA-AS1	34.45	34.45000076293945	34.45	100.0	100.0	100.0	100.0	100.0	100.0
COL4A2-AS1	38.94	38.939998626708984	38.94	100.0	100.0	100.0	100.0	100.0	100.0
CCZ1B	23.29	23.290000915527344	23.29	69.01	69.01000213623047	69.01	57.14	57.13999938964844	57.14
HSDL1	38.71	38.709999084472656	38.71	100.0	100.0	100.0	100.0	100.0	100.0
MTRF1L	22.7	22.700000762939453	22.7	77.96	77.95999908447266	77.96	50.89	50.88999938964844	50.89
HOXB5	32.71	32.709999084472656	32.71	100.0	100.0	100.0	100.0	100.0	100.0
IDH1-AS1	40.87	40.869998931884766	40.87	100.0	100.0	100.0	100.0	100.0	100.0
C4orf19	36.32	36.31999969482422	36.32	100.0	100.0	100.0	99.95	99.94999694824219	99.95
NCBP3	37.01	37.0099983215332	37.01	100.0	100.0	100.0	100.0	100.0	100.0
ZBTB37	38.0	38.0	38.0	100.0	100.0	100.0	100.0	100.0	100.0
C5orf24	38.01	38.0099983215332	38.01	100.0	100.0	100.0	100.0	100.0	100.0
LOC105372179	39.65	39.650001525878906	39.65	100.0	100.0	100.0	100.0	100.0	100.0
GPR39	40.95	40.95000076293945	40.95	100.0	100.0	100.0	100.0	100.0	100.0
TMC1	34.37	34.369998931884766	34.37	100.0	100.0	100.0	100.0	100.0	100.0
RPIA	36.27	36.27000045776367	36.27	100.0	100.0	100.0	96.13	96.12999725341797	96.13
OR10T2	37.49	37.4900016784668	37.49	100.0	100.0	100.0	100.0	100.0	100.0
OR1L3	42.91	42.90999984741211	42.91	100.0	100.0	100.0	100.0	100.0	100.0
DYSF	37.25	37.25	37.25	100.0	100.0	100.0	99.57	99.56999969482422	99.57
LINC02578	33.13	33.130001068115234	33.13	100.0	100.0	100.0	100.0	100.0	100.0
MIR4497	39.03	39.029998779296875	39.03	100.0	100.0	100.0	100.0	100.0	100.0
